Switch#show mac address-table 
        Mac Address Table (Total 498)
------------------------------------------

Vlan    Mac Address       Type       Ports
700     40ae.30c5.cc04    DYNAMIC    gpon0/1:90-1
700     788c.b556.8c37    DYNAMIC    gpon0/8:44-1
700     a8d4.e0be.2b44    DYNAMIC    gpon0/2:50-1
700     30de.4b2b.12d7    DYNAMIC    gpon0/6:36-1
700     cc64.a62b.1a4a    DYNAMIC    gpon0/5:50-1
1       6083.e715.e7d5    DYNAMIC    gpon0/6:59-1
1       6083.e715.e7d3    DYNAMIC    gpon0/6:59-1
1       6083.e715.e7d2    DYNAMIC    gpon0/6:59-1
700     1457.9f60.8e1e    DYNAMIC    gpon0/3:55-1
700     8cfd.18c9.a820    DYNAMIC    gpon0/5:29-1
1       f009.0d91.8dae    DYNAMIC    gpon0/1:99-1
1       f009.0d91.8daa    DYNAMIC    gpon0/1:99-1
700     20ab.4822.21b6    DYNAMIC    gpon0/12:12-1
700     44a3.c725.d31a    DYNAMIC    gpon0/6:54-1
700     e4dc.cc13.ef39    DYNAMIC    gpon0/6:61-1
700     44a3.c725.d3aa    DYNAMIC    gpon0/5:69-1
700     bc3f.8fbe.6b64    DYNAMIC    gpon0/12:36-1
700     70c7.f34e.e2fb    DYNAMIC    gpon0/9:37-1
1       40ae.30c5.8a03    DYNAMIC    gpon0/8:38-1
1       40ae.30c5.8a02    DYNAMIC    gpon0/8:38-1
1       40ae.30c5.8a05    DYNAMIC    gpon0/8:38-1
700     788c.b556.9316    DYNAMIC    gpon0/4:35-1
700     1457.9f8a.1317    DYNAMIC    gpon0/1:53-1
1       40ae.30c5.ca42    DYNAMIC    gpon0/2:38-1
700     dc99.14fc.a799    DYNAMIC    gpon0/1:10-1
1       40ae.30c5.ca43    DYNAMIC    gpon0/2:38-1
700     0cc6.cc63.4f84    DYNAMIC    gpon0/1:86-1
1       40ae.30c5.ca45    DYNAMIC    gpon0/2:38-1
700     a008.6fa5.78f8    DYNAMIC    gpon0/9:57-1
700     341e.6bbe.31a7    DYNAMIC    gpon0/4:17-1
700     c0ff.a89f.26d2    DYNAMIC    gpon0/2:13-1
700     0433.897a.fd43    DYNAMIC    gpon0/2:12-1
700     c0ff.a89f.b91f    DYNAMIC    gpon0/4:43-1
700     44a3.c725.d3fe    DYNAMIC    gpon0/5:68-1
700     183d.5ea2.428e    DYNAMIC    gpon0/8:20-1
700     cc64.a653.e6d1    DYNAMIC    gpon0/4:36-1
700     20ab.4822.23ff    DYNAMIC    gpon0/12:14-1
700     44a3.c725.f156    DYNAMIC    gpon0/4:51-1
700     70c7.f33d.4100    DYNAMIC    gpon0/12:40-1
700     cc64.a625.27d5    DYNAMIC    gpon0/1:67-1
700     40ee.ddc3.6522    DYNAMIC    gpon0/5:61-1
