PON_DESTINO,ZTE_ONU_ID,SN,PPPoE_USER,ONT_MODEL,ONT_MODE
0/1/2,30,HWTC262ACB1E,memoreyra,IC405WSG,ROUTER
0/1/2,31,HWTC190EA39B,bquispe,EG8141A5,ROUTER
0/1/2,32,HWTC82F95192,gchavero,IC410WSG,ROUTER
0/1/2,33,HWTCB37C0F9A,jzapata,EG8141A5,ROUTER
0/1/2,34,HWTCA3A642B1,jbflores,EG8021V5,BRIDGE
0/1/2,38,HWTC82E09492,lnromero,IC410WSG,ROUTER
0/1/2,43,HWTC82A1F792,abluduena,IC410WSG,ROUTER
0/1/2,45,HWTC2684AC1E,fbarrera,IC405WSG,ROUTER
0/1/2,46,TPLG8BDDE772,cescudero3,TX-6610,BRIDGE
0/1/2,47,HWTC26164C1E,taltamirano,IC405WSG,ROUTER
0/1/2,48,HWTC1092ACAB,yflores2,HG8245H5,ROUTER
0/1/2,49,HWTC8A108EA6,maturme,EG8141A5,ROUTER
0/1/2,50,TPLG4B2AFF38,asvillcazana,XN020-G3,ROUTER
0/1/2,51,TPLGB5567800,sjvillafane,XN020-G3,ROUTER
0/1/2,52,TPLGA28D61E8,lmyriarte,XN020-G3,ROUTER
0/1/2,53,HWTC4CFD9CAB,fyyriarte,HG8245H5,ROUTER
0/1/2,54,TPLGB5569080,aaoviedo,XN020-G3,ROUTER
0/1/2,55,HWTC17901F9B,nsperez,IC405WSG,ROUTER
0/1/2,56,TPLG4B2B0CE0,mtuno,XN020-G3,ROUTER
0/1/2,57,HWTC174D0F9B,actello,IC405WSG,ROUTER
0/1/2,58,HWTC17074F9B,mrengifo,IC405WSG,ROUTER
0/1/2,59,TPLGCEF499D8,jlturme,XC220-G3v,ROUTER
0/1/2,61,HWTC87F2B9B4,jstotel,EG8021V5,BRIDGE
0/1/2,62,HWTCA47952B1,cmromero,EG8021V5,BRIDGE
0/1/2,63,HWTCAF6D68B1,dsacosta,EG8021V5,BRIDGE
0/1/2,64,HWTC2622061E,wrmercado,IC405WSG,ROUTER
