PON_DESTINO,ZTE_ONU_ID,SN,PPPoE_USER,ONT_MODEL,ONT_MODE
0/1/14,39,HWTIFAB3B69F,fltello,EG8141A5,ROUTER
0/1/14,23,HWTC87EAE4B4,iscasana,EG8021V5,BRIDGE
0/1/14,4,HWTC041C1292,dmusso,HG8546M,ROUTER
0/1/15,2,TPLGE71635E0,edpereyra,XC220-G3v,ROUTER
0/1/6,3,HWTC87E7B0B4,cialtamirano,EG8021V5,BRIDGE
0/1/6,35,HWTC26BF001E,gpgauna,IC405WSG,ROUTER
0/1/6,6,HWTCA5199A9B,edroveres,EG8141A5,ROUTER
0/1/6,27,TPLG30C5C208,dmbordon,XC220-G3,ROUTER
0/1/6,33,HWTC26B7751E,cbarrozo,IC405WSG,ROUTER
0/1/14,27,TPLGA236EA90,sevillarreal,XN020-G3v,ROUTER
0/1/6,26,TPLGB5568258,rbnunez2,XN020-G3,ROUTER
0/1/6,47,TPLGB5567D20,jagarcia,XN020-G3,ROUTER
0/1/9,3,TPLGB55682C0,ofaltamirano,XN020-G3,ROUTER
0/1/9,28,HWTC266B621E,msanchez6,IC405WSG,ROUTER
0/1/14,37,HWTC82985D92,ceolguin,IC410WSG,ROUTER
0/1/14,6,ZTEGD6D16084,cevillarreal,F670LV9.0,ROUTER
0/1/14,43,HWTC18E0799F,gjherrera,HS8545M5,ROUTER
0/1/6,11,HWTC4F8B3C9B,ccortez,EG8141A5,ROUTER
0/1/9,7,HWTC17056F9B,consejodlt,IC405WSG,ROUTER
0/1/10,14,HWTC2644A11E,aclopez1,IC405WSG,ROUTER
0/1/9,22,HWTC0ECB939F,ejpacho,EG8141A5,ROUTER
0/1/10,6,HWTCA3A820B1,adbustos,EG8021V5,BRIDGE
0/1/12,28,HWTCF286759F,amettel1,EG8141A5,ROUTER
0/1/13,21,HWTC5AC6BF9B,hturme,IC405WSG,ROUTER
0/1/6,48,HWTC4FB76C9B,tvalaniz,EG8141A5,ROUTER
0/1/6,22,HWTC38104E9D,rmfernandez,EG8141A5,ROUTER
0/1/12,35,HWTCDCB490B1,ippereyra,EG8021V5,BRIDGE
0/1/10,21,HWTC0465EC1E,emaltamirano2,IC455WDB,ROUTER
0/1/10,2,HWTC2693161E,flligorria,IC405WSG,ROUTER
0/1/15,11,HWTC26C6C01E,hfpereyra,IC405WSG,ROUTER
0/1/6,15,HWTC04DE5992,eolguin,HG8546M,ROUTER
