PON_DESTINO,ZTE_ONU_ID,SN,PPPoE_USER,ONT_MODEL,ONT_MODE
gpon_olt-1/4/4,34,ZTEGD6D145BA,gcmarquez1,F670LV9.0,BRIDGE
gpon_olt-1/4/4,20,HWTCA47C73B1,jbochoa,EG8021V5,ROUTER
gpon_olt-1/4/12,25,HWTC87F2C1B4,jaromero2,EG8021V5,ROUTER
gpon_olt-1/4/12,53,HWTC26A0DF1E,nvallejos1,IC405WSG,ROUTER
gpon_olt-1/4/7,10,HWTCA4755AB1,mhlemhofer,EG8021V5,ROUTER
gpon_olt-1/4/9,16,HWTCDCB3EBB1,recorbalan,EG8021V5,ROUTER
gpon_olt-1/4/7,1,ZTEGD6D14043,sloviedo,F670LV9.0,BRIDGE
gpon_olt-1/4/12,44,ZTEGD6D14040,esromero,F670LV9.0,BRIDGE
gpon_olt-1/4/9,27,HWTCA3A4A0B1,jmllanos,EG8021V5,ROUTER
gpon_olt-1/4/7,18,HWTC87F0B4B4,avcamacho,EG8021V5,ROUTER
gpon_olt-1/4/6,25,HWTC60D6499F,cmsuau,EG8141A5,ROUTER
gpon_olt-1/4/1,4,HWTC02B60292,fndominguez,HG8546M,ROUTER
gpon_olt-1/4/9,24,HWTC87ECEDB4,amponce,EG8021V5,ROUTER
gpon_olt-1/4/12,50,HWTC87EB02B4,recufre,EG8021V5,ROUTER
gpon_olt-1/4/8,5,HWTC87F289B4,mefernandez,EG8021V5,ROUTER
gpon_olt-1/4/4,18,ZTEGD6D140A2,mlrobles,F670LV9.0,BRIDGE
gpon_olt-1/4/1,13,HWTCA47CC1B1,faalaniz,EG8021V5,ROUTER
gpon_olt-1/4/9,35,HWTCAF6763B1,eaboyero,EG8021V5,ROUTER
gpon_olt-1/4/5,25,ZTEGD6D145EB,bromero6,F670LV9.0,BRIDGE
gpon_olt-1/4/2,2,HWTC96658BB1,dmtorres,EG8021V5,ROUTER
gpon_olt-1/4/2,7,HWTC5ED7519F,geguzman,EG8141A5,ROUTER
gpon_olt-1/4/7,3,HWTCA3A48FB1,amfernandez,EG8021V5,ROUTER
gpon_olt-1/4/9,5,HWTCDAD29CB1,aidominguez,EG8021V5,ROUTER
gpon_olt-1/4/5,7,HWTC87F465B4,fjfunes,EG8021V5,ROUTER
gpon_olt-1/4/6,24,HWTCD43A0B9F,kalopez,EG8141A5,ROUTER
gpon_olt-1/4/3,10,ZTEGD6D15F31,emvillalobos,F670LV9.0,BRIDGE
